[ROOMID] 1
[ITEMS] 0
[MONEY] 0

[ROOMID] 2
[ITEMS] 0
[MONEY] 0

[ROOMID] 3
[ITEMS] 0
[MONEY] 0

[ROOMID] 4
[ITEMS] 0
[MONEY] 0

[ROOMID] 5
[ITEMS] 0
[MONEY] 0

[ROOMID] 6
[ITEMS] 0
[MONEY] 0

[ROOMID] 7
[ITEMS] 0
[MONEY] 0

[ROOMID] 8
[ITEMS] 0
[MONEY] 0

[ROOMID] 9
[ITEMS] 0
[MONEY] 0

[ROOMID] 10
[ITEMS] 0
[MONEY] 0

[ROOMID] 11
[ITEMS] 0
[MONEY] 0

[ROOMID] 12
[ITEMS] 0
[MONEY] 0

[ROOMID] 13
[ITEMS] 0
[MONEY] 0

[ROOMID] 14
[ITEMS] 0
[MONEY] 0

[ROOMID] 15
[ITEMS] 0
[MONEY] 0

[ROOMID] 16
[ITEMS] 0
[MONEY] 0

[ROOMID] 17
[ITEMS] 0
[MONEY] 0

[ROOMID] 18
[ITEMS] 0
[MONEY] 0

[ROOMID] 19
[ITEMS] 0
[MONEY] 0

[ROOMID] 20
[ITEMS] 0
[MONEY] 0

[ROOMID] 21
[ITEMS] 0
[MONEY] 0

[ROOMID] 22
[ITEMS] 0
[MONEY] 0

[ROOMID] 23
[ITEMS] 0
[MONEY] 0

[ROOMID] 24
[ITEMS] 0
[MONEY] 0

[ROOMID] 25
[ITEMS] 0
[MONEY] 0

[ROOMID] 26
[ITEMS] 0
[MONEY] 0

[ROOMID] 27
[ITEMS] 0
[MONEY] 0

[ROOMID] 28
[ITEMS] 0
[MONEY] 0

[ROOMID] 29
[ITEMS] 0
[MONEY] 0

[ROOMID] 30
[ITEMS] 0
[MONEY] 0

[ROOMID] 31
[ITEMS] 0
[MONEY] 0

[ROOMID] 32
[ITEMS] 0
[MONEY] 0

[ROOMID] 33
[ITEMS] 0
[MONEY] 0

[ROOMID] 34
[ITEMS] 0
[MONEY] 0

[ROOMID] 35
[ITEMS] 0
[MONEY] 0

[ROOMID] 36
[ITEMS] 0
[MONEY] 0

[ROOMID] 37
[ITEMS] 0
[MONEY] 0

[ROOMID] 38
[ITEMS] 0
[MONEY] 0

[ROOMID] 39
[ITEMS] 0
[MONEY] 0

[ROOMID] 40
[ITEMS] 0
[MONEY] 0

[ROOMID] 41
[ITEMS] 0
[MONEY] 0

[ROOMID] 42
[ITEMS] 0
[MONEY] 0

[ROOMID] 43
[ITEMS] 0
[MONEY] 0

[ROOMID] 44
[ITEMS] 0
[MONEY] 0

[ROOMID] 45
[ITEMS] 0
[MONEY] 0

[ROOMID] 46
[ITEMS] 0
[MONEY] 0

[ROOMID] 47
[ITEMS] 0
[MONEY] 0

[ROOMID] 48
[ITEMS] 0
[MONEY] 0

[ROOMID] 49
[ITEMS] 0
[MONEY] 0

[ROOMID] 50
[ITEMS] 0
[MONEY] 0

[ROOMID] 51
[ITEMS] 0
[MONEY] 0

[ROOMID] 52
[ITEMS] 0
[MONEY] 0

[ROOMID] 53
[ITEMS] 0
[MONEY] 0

[ROOMID] 54
[ITEMS] 0
[MONEY] 0

[ROOMID] 55
[ITEMS] 0
[MONEY] 0

[ROOMID] 56
[ITEMS] 0
[MONEY] 0

[ROOMID] 57
[ITEMS] 0
[MONEY] 0

